,title,build_time,price,unit_price,transaction_date,district,bedrooms
0,浦东世纪花园(公寓) 车位,地下室(共1层) 板楼,66,21394,2021.11.23,pudong,l1
1,保利林语溪(公寓) 车位,地下室(共1层) 板楼,46,14655,2021.11.21,pudong,l1
4,陆凌新村 1室1厅 42.05平米,高楼层(共6层) 1994年建板楼,165,39240,2021.11.21,pudong,l1
8,鸿音广场 2房间1卫 44.92平米,高楼层(共11层) 塔楼,57,12690,2021.11.20,pudong,l1
13,百舸商务酒店公寓 1室1厅 43.04平米,中楼层(共6层) 2007年建板楼,130,30205,2021.11.19,pudong,l1
19,盛大天地青春里2.0 1房间1卫 46.58平米,中楼层(共18层) 2016年建板楼,170,36454,2021.11.15,pudong,l1
26,上钢一村 1室0厅 31.49平米,中楼层(共5层) 1974年建板楼,170,53986,2021.11.09,pudong,l1
34,科教园区大学城生活区 1室0厅 33.03平米,中楼层(共6层) 2001年建塔楼,50,15138,2021.10.31,pudong,l1
43,阳光城MODO自由区 2房间1卫 49.25平米,高楼层(共20层) 2014年建塔楼,160,32488,2021.10.30,pudong,l1
53,朝农新村 1室1厅 43平米,高楼层(共5层) 1984年建板楼,50,11628,2021.10.28,pudong,l1
64,环球翡翠湾花园(公寓) 车位,地下室(共1层) 暂无数据,35,9445,2021.10.27,pudong,l1
76,大华锦绣华城(十五街区) 车位,地下室(共1层) 板楼,58,16915,2021.10.27,pudong,l1
89,科教园区大学城生活区 1室1厅 46.7平米,中楼层(共6层) 2001年建塔楼,62,13277,2021.10.26,pudong,l1
103,荡湾新村 1室1厅 39.33平米,中楼层(共5层) 1986年建板楼,112,28401,2021.10.25,pudong,l1
118,印象春城 车位,地下室(共18层) 板塔结合,20,5774,2021.10.23,pudong,l1
134,陆凌新村 1室1厅 47.41平米,高楼层(共6层) 1994年建板楼,160,33749,2021.10.20,pudong,l1
151,万科清林径 1室0厅 30平米,高楼层(共18层) 2012年建板楼,27,9000,2021.10.18,pudong,l1
169,大华锦绣华城(十五街区) 车位,地下室(共1层) 板楼,55,15135,2021.10.17,pudong,l1
188,科教园区大学城生活区 1室1厅 46.7平米,高楼层(共6层) 2001年建塔楼,61,12891,2021.10.15,pudong,l1
208,工农新村(新场) 1室1厅 42.62平米,高楼层(共4层) 1982年建板楼,109,25575,2021.10.10,pudong,l1
229,科教园区大学城生活区 1室0厅 44.42平米,中楼层(共5层) 2001年建板楼,66,14746,2021.10.10,pudong,l1
251,崂山五村 1室1厅 31.52平米,中楼层(共6层) 1966年建板楼,198,62818,2021.10.07,pudong,l1
274,学前一村 1室1厅 38.48平米,低楼层(共6层) 1987年建板楼,188,48857,2021.10.04,pudong,l1
298,阳光城魔都 2房间1卫 38.77平米,低楼层(共22层) 2016年建塔楼,189,48698,2021.10.01,pudong,l1
323,科教园区大学城生活区 1室1厅 44.42平米,中楼层(共5层) 2001年建板楼,70,15647,2021.09.26,pudong,l1
349,印象生活广场 2房间1卫 47.55平米,高楼层(共15层) 2014年建板楼,165,34701,2021.09.21,pudong,l1
376,乐非天地 2房间1卫 41.89平米,高楼层(共15层) 塔楼,128,30557,2021.09.21,pudong,l1
404,科教园区大学城生活区 1室0厅 46.7平米,高楼层(共6层) 2001年建塔楼,59,12634,2021.09.21,pudong,l1
433,科教园区大学城生活区 1室1厅 43.26平米,高楼层(共5层) 2001年建板楼,52,12021,2021.09.20,pudong,l1
463,亚龙国际大厦 2房间1卫 44.24平米,中楼层(共16层) 塔楼,128,28934,2021.09.20,pudong,l1
494,荡湾新村 2室1厅 42.51平米,低楼层(共5层) 1985年建板楼,125,29405,2021.11.14,pudong,l2
526,东南三村 2室1厅 47.39平米,中楼层(共5层) 1991年建板楼,185,39038,2021.10.07,pudong,l2
559,育新新村 2室2厅 48.45平米,中楼层(共5层) 1982年建板楼,161,33231,2021.10.05,pudong,l2
593,潼港一村 2室1厅 47.54平米,高楼层(共6层) 1992年建板楼,184,38663,2021.10.03,pudong,l2
628,川沙路4650弄 2室1厅 49.69平米,高楼层(共6层) 板楼,193,38841,2021.09.22,pudong,l2
664,惠北新村 2室1厅 47.23平米,中楼层(共5层) 1982年建板楼,146,30913,2021.08.01,pudong,l2
701,盛大天地青春里2.0 4房间2卫 44.91平米,中楼层(共13层) 2016年建塔楼,189,42085,2021.07.22,pudong,l2
739,盛大天地青春里2.0 4房间2卫 45平米,中楼层(共13层) 2016年建塔楼,184,40889,2021.06.27,pudong,l2
778,听潮一村 2室1厅 48平米,低楼层(共6层) 1988年建板楼,140,29167,2021.06.23,pudong,l2
818,盛大天地青春里2.0 3房间2卫 45.07平米,高楼层(共13层) 2016年建塔楼,194,43045,2021.06.06,pudong,l2
859,新德路365弄小区 2室1厅 44.01平米,高楼层(共5层) 1984年建板楼,178,40446,2021.05.22,pudong,l2
901,盛大天地青春里2.0 3房间1卫 44.51平米,中楼层(共16层) 塔楼,166,37295,2021.05.08,pudong,l2
944,听潮一村 2室1厅 49.74平米,低楼层(共6层) 1990年建板楼,140,28143,2021.04.18,pudong,l2
988,永泰花苑 车位,地下室 板楼,15,4474,2021.04.09,pudong,l2
1033,听潮一村 2室1厅 47.7平米,高楼层(共6层) 1991年建板楼,134,28051,2021.04.03,pudong,l2
1079,水上新村(浦东) 2室1厅 49.98平米,低楼层(共6层) 1992年建板楼,150,30013,2021.03.22,pudong,l2
1126,河滨小区 2室1厅 47.4平米,高楼层(共5层) 1981年建板楼,185,39030,2021.03.21,pudong,l2
1174,河滨小区 2室1厅 45.82平米,高楼层(共5层) 1981年建板楼,171,37320,2021.03.06,pudong,l2
1223,盛大天地青春里2.0 4房间2卫 44平米,中楼层(共16层) 塔楼,168,38182,2021.03.04,pudong,l2
1273,盛大天地青春里2.0 3房间1卫 44.77平米,高楼层(共13层) 2014年建塔楼,195,43556,2021.02.17,pudong,l2
1324,新建路40弄 2室0厅 47.85平米,中楼层(共5层) 板楼,115,24034,2021.01.31,pudong,l2
1376,沪东新村 2室1厅 35.48平米,低楼层(共4层) 1958年建板楼,163,45942,2021.01.26,pudong,l2
1429,西泥路小区 2室1厅 47.12平米,中楼层(共6层) 1994年建板楼,198,41915,2021.01.10,pudong,l2
1483,听潮一村 2室1厅 49平米,高楼层(共6层) 1988年建板楼,119,24286,2021.01.07,pudong,l2
1538,荡湾新村 2室1厅 46.42平米,高楼层(共6层) 1985年建板楼,118,25399,2021.01.03,pudong,l2
1594,盛大天地青春里2.0 4房间2卫 45平米,低楼层(共17层) 2014年建平房,195,43334,2020.12.26,pudong,l2
1651,沪东新村 2室0厅 46.4平米,中楼层(共6层) 1953年建板楼,180,38794,2020.12.19,pudong,l2
1709,荡湾新村 2室1厅 49.87平米,低楼层(共6层) 1985年建板楼,119,23762,2020.12.12,pudong,l2
1768,沪东新村 2室0厅 42.02平米,中楼层(共5层) 1986年建板楼,191,45336,2020.12.06,pudong,l2
1828,东都小区 2室1厅 44.35平米,中楼层(共5层) 1983年建板楼,171,38557,2020.12.04,pudong,l2
