title,built_date,bedrooms,district,unit_price,transaction_date,位置,经纬度
陆凌新村,1994,l1,pudong,39240,2021.11.21,上海市浦东新区陆凌新村,"121.562035,31.347713"
陆凌新村,1994,l1,pudong,33749,2021.10.20,上海市浦东新区陆凌新村,"121.562035,31.347713"
陆凌新村,1994,l2,pudong,36227,2021.09.13,上海市浦东新区陆凌新村,"121.562035,31.347713"
百舸商务酒店公寓,2007,l1,pudong,30205,2021.11.19,上海市浦东新区百舸商务,"121.583710,31.248774"
盛大天地青春里2.0,2016,l1,pudong,36454,2021.11.15,上海市浦东新区盛大天地青春里,"121.603310,31.173262"
盛大天地青春里2.0,2016,l2,pudong,42085,2021.07.22,上海市浦东新区盛大天地青春里,"121.603310,31.173262"
盛大天地青春里2.0,2016,l2,pudong,40889,2021.06.27,上海市浦东新区盛大天地青春里,"121.603310,31.173262"
盛大天地青春里2.0,2016,l2,pudong,43045,2021.06.06,上海市浦东新区盛大天地青春里,"121.603310,31.173262"
盛大天地青春里2.0,2014,l2,pudong,43556,2021.02.17,上海市浦东新区盛大天地青春里,"121.603310,31.173262"
盛大天地青春里2.0,2014,l2,pudong,43334,2020.12.26,上海市浦东新区盛大天地青春里,"121.603310,31.173262"
盛大天地青春里2.0,2016,l2,pudong,46761,2021.07.22,上海市浦东新区盛大天地青春里,"121.603310,31.173262"
盛大天地青春里2.0,2016,l2,pudong,44768,2021.10.15,上海市浦东新区盛大天地青春里,"121.603310,31.173262"
盛大天地青春里2.0,2014,l2,pudong,44340,2021.08.15,上海市浦东新区盛大天地青春里,"121.603310,31.173262"
上钢一村,1974,l1,pudong,53986,2021.11.09,上海市浦东新区上钢一村,"121.494514,31.172737"
科教园区大学城生活区,2001,l1,pudong,15138,2021.10.31,上海市浦东新区科教园区大学城生活区,"121.784543,31.049036"
科教园区大学城生活区,2001,l1,pudong,13277,2021.10.26,上海市浦东新区科教园区大学城生活区,"121.784543,31.049036"
科教园区大学城生活区,2001,l1,pudong,12891,2021.10.15,上海市浦东新区科教园区大学城生活区,"121.784543,31.049036"
科教园区大学城生活区,2001,l1,pudong,14746,2021.10.10,上海市浦东新区科教园区大学城生活区,"121.784543,31.049036"
科教园区大学城生活区,2001,l1,pudong,15647,2021.09.26,上海市浦东新区科教园区大学城生活区,"121.784543,31.049036"
科教园区大学城生活区,2001,l1,pudong,12634,2021.09.21,上海市浦东新区科教园区大学城生活区,"121.784543,31.049036"
科教园区大学城生活区,2001,l1,pudong,12021,2021.09.20,上海市浦东新区科教园区大学城生活区,"121.784543,31.049036"
朝农新村,1984,l1,pudong,11628,2021.10.28,上海市浦东新区朝农新村,"121.837524,31.096113"
荡湾新村,1986,l1,pudong,28401,2021.10.25,上海市浦东新区荡湾新村,"121.764626,31.043772"
荡湾新村,1985,l2,pudong,29405,2021.11.14,上海市浦东新区荡湾新村,"121.764626,31.043772"
荡湾新村,1985,l2,pudong,25399,2021.01.03,上海市浦东新区荡湾新村,"121.764626,31.043772"
