,title,build_time,price,unit_price,transaction_date,district,bedrooms
0,谷北小区 1室1厅 33平米,高楼层(共6层) 暂无数据,125,37879,2021.11.23,songjiang,l1
1,青春驿站 1室1厅 41.74平米,低楼层(共11层) 2007年建板楼,195,46718,2021.11.20,songjiang,l1
4,龙湖新壹城 1房间1卫 24.6平米,高楼层(共18层) 塔楼,70,28253,2021.11.20,songjiang,l1
8,凤凰小区 1室1厅 34.76平米,高楼层(共6层) 1978年建板楼,125,35961,2021.11.20,songjiang,l1
13,万达广场(松江) 1房间1卫 41.91平米,中楼层(共19层) 2014年建塔楼,74,17657,2021.11.20,songjiang,l1
19,檀香花苑(公寓) 1室0厅 36.78平米,中楼层(共4层) 2003年建板楼,123,33225,2021.11.14,songjiang,l1
26,龙湖新壹城 2房间1卫 29.81平米,中楼层(共12层) 塔楼,93,31198,2021.11.14,songjiang,l1
34,开元地中海 1室0厅 36.88平米,低楼层(共18层) 2003年建塔楼,101,27387,2021.11.05,songjiang,l1
43,海派青城 1室1厅 43.7平米,中楼层(共14层) 2011年建板楼,159,36339,2021.11.05,songjiang,l1
53,三迪曼哈顿 2房间1卫 49.21平米,高楼层(共21层) 塔楼,135,27434,2021.11.04,songjiang,l1
64,凤凰小区 1室1厅 37.85平米,中楼层(共6层) 1990年建板楼,140,36989,2021.10.31,songjiang,l1
76,湖畔尚品 2房间1卫 41.33平米,中楼层(共12层) 2006年建塔楼,63,15195,2021.10.31,songjiang,l1
89,奥林匹克花园 车位,地下室(共5层) 板楼,16,4000,2021.10.28,songjiang,l1
103,塘和家园德悦苑 1室1厅 48.3平米,中楼层(共20层) 2015年建塔楼,156,32299,2021.10.27,songjiang,l1
118,开元地中海 1室0厅 40.75平米,高楼层(共18层) 2006年建塔楼,108,26504,2021.10.24,songjiang,l1
134,方东小区 1室1厅 37.51平米,低楼层(共5层) 1983年建板楼,113,30126,2021.10.23,songjiang,l1
151,龙湖新壹城 1房间1卫 24.6平米,中楼层(共18层) 塔楼,72,29269,2021.10.23,songjiang,l1
169,新弘国际城(公寓) 车位,地下室(共18层) 板楼,12,3077,2021.10.19,songjiang,l1
188,新弘国际城(公寓) 车位,地下室(共18层) 板楼,10,2506,2021.10.19,songjiang,l1
208,塔湾新村(松江) 1室1厅 38.92平米,中楼层(共5层) 板楼,135,34687,2021.10.17,songjiang,l1
229,开元地中海 1室0厅 42.87平米,高楼层(共18层) 2006年建塔楼,109,25310,2021.10.16,songjiang,l1
251,荣乐小区 1室1厅 47.11平米,高楼层(共6层) 1986年建板楼,143,30355,2021.10.16,songjiang,l1
274,荣乐小区 1室1厅 39.45平米,高楼层(共6层) 1986年建板楼,138,34981,2021.10.10,songjiang,l1
298,檀香花苑(公寓) 1室1厅 36.78平米,中楼层(共4层) 2003年建板楼,125,33986,2021.10.10,songjiang,l1
323,九城湖滨国际 车位,地下室(共14层) 板楼,16,5162,2021.10.08,songjiang,l1
349,白云新村 1室1厅 43.02平米,高楼层(共5层) 1986年建板楼,115,26732,2021.10.06,songjiang,l1
376,龙湖新壹城 2房间1卫 29.8平米,中楼层(共12层) 塔楼,115,38591,2021.10.05,songjiang,l1
404,万达广场(松江) 2房间1卫 41.91平米,高楼层(共19层) 2014年建塔楼,77,18373,2021.10.05,songjiang,l1
433,开元地中海 1室1厅 43.13平米,中楼层(共18层) 2006年建塔楼,128,29678,2021.10.03,songjiang,l1
463,凤凰小区 1室1厅 34.76平米,高楼层(共6层) 1986年建板楼,127,36537,2021.10.02,songjiang,l1
494,福都广场锋尚99 3房间1卫 41.95平米,低楼层(共13层) 2012年建塔楼,77,18356,2021.11.21,songjiang,l2
526,杜家滩1号 2室1厅 45.99平米,低楼层(共6层) 1979年建板楼,173,37617,2021.11.20,songjiang,l2
559,三湘商业广场 3房间2卫 42.87平米,高楼层(共19层) 塔楼,142,33124,2021.11.07,songjiang,l2
593,森林公馆乐莫苑 2室1厅 34.52平米,高楼层(共6层) 2006年建板楼,152,43888,2021.11.05,songjiang,l2
628,森林公馆乐莫苑 2室1厅 46.82平米,中楼层(共6层) 2006年建板楼,169,36096,2021.10.27,songjiang,l2
664,上海青年城 4房间1卫 46.75平米,高楼层(共17层) 2009年建板楼,176,37541,2021.10.26,songjiang,l2
701,福都广场锋尚99 3房间1卫 45.56平米,高楼层(共13层) 2012年建塔楼,95,20852,2021.10.24,songjiang,l2
739,荣乐小区 2室1厅 40.65平米,高楼层(共6层) 1986年建板楼,142,34933,2021.09.19,songjiang,l2
778,万科红人馆 3房间1卫 46平米,中楼层(共5层) 2013年建板楼,87,18914,2021.09.14,songjiang,l2
818,福都广场锋尚99 3房间1卫 41.95平米,中楼层(共13层) 2012年建塔楼,80,19071,2021.09.04,songjiang,l2
859,万科红人馆 4房间1卫 45.37平米,高楼层(共5层) 2013年建板楼,99,21821,2021.08.08,songjiang,l2
901,森林公馆乐莫苑 2室1厅 34.95平米,高楼层(共6层) 2006年建板楼,150,42919,2021.08.07,songjiang,l2
944,白云新村 2室1厅 49平米,低楼层(共5层) 1992年建板楼,161,32858,2021.07.31,songjiang,l2
988,森林公馆乐莫苑 2室1厅 34.52平米,中楼层(共6层) 2006年建板楼,147,42440,2021.07.12,songjiang,l2
1033,森林公馆乐莫苑 2室1厅 34.52平米,高楼层(共6层) 2006年建板楼,146,42295,2021.06.12,songjiang,l2
1079,森林公馆乐莫苑 2室1厅 34.95平米,高楼层(共6层) 2006年建板楼,146,41631,2021.06.12,songjiang,l2
1126,森林公馆乐莫苑 2室1厅 34.52平米,高楼层(共6层) 2006年建板楼,132,38094,2021.06.04,songjiang,l2
1174,三湘商业广场 3房间1卫 42.84平米,低楼层(共19层) 塔楼,129,30113,2021.06.01,songjiang,l2
1223,森林公馆乐莫苑 2室1厅 34.52平米,中楼层(共6层) 2006年建板楼,133,38529,2021.05.31,songjiang,l2
1273,森林公馆乐莫苑 2室1厅 34.52平米,高楼层(共6层) 2006年建板楼,146,42150,2021.05.30,songjiang,l2
1324,三湘商业广场 3房间1卫 42.84平米,中楼层(共19层) 塔楼,120,28012,2021.05.08,songjiang,l2
1376,上海青年城 4房间1卫 49.39平米,高楼层(共17层) 2009年建板楼,170,34420,2021.05.03,songjiang,l2
1429,森林公馆乐莫苑 2室1厅 46.82平米,高楼层(共6层) 2006年建板楼,182,38873,2021.04.28,songjiang,l2
1483,森林公馆乐莫苑 2室1厅 34.95平米,中楼层(共6层) 2006年建板楼,135,38484,2021.04.11,songjiang,l2
1538,福都广场锋尚99 3房间1卫 44.56平米,高楼层(共13层) 2012年建塔楼,90,20198,2021.04.09,songjiang,l2
1594,森林公馆乐莫苑 2室1厅 34.95平米,高楼层(共6层) 2006年建板楼,130,37196,2021.03.21,songjiang,l2
1651,人乐小区 2室1厅 41.22平米,高楼层(共4层) 1986年建板楼,143,34692,2021.03.13,songjiang,l2
1709,绿地云天坊 4房间1卫 41.2平米,高楼层(共14层) 塔楼,130,31554,2021.02.28,songjiang,l2
