title,build_time,price,unit_price,transaction_date,district,bedrooms
陆凌新村 1室1厅 42.05平米,高楼层(共6层) 1994年建板楼,165,39240,2021.11.21,pudong,l1
百舸商务酒店公寓 1室1厅 43.04平米,中楼层(共6层) 2007年建板楼,130,30205,2021.11.19,pudong,l1
盛大天地青春里2.0 1房间1卫 46.58平米,中楼层(共18层) 2016年建板楼,170,36454,2021.11.15,pudong,l1
上钢一村 1室0厅 31.49平米,中楼层(共5层) 1974年建板楼,170,53986,2021.11.09,pudong,l1
科教园区大学城生活区 1室0厅 33.03平米,中楼层(共6层) 2001年建塔楼,50,15138,2021.10.31,pudong,l1
阳光城MODO自由区 2房间1卫 49.25平米,高楼层(共20层) 2014年建塔楼,160,32488,2021.10.30,pudong,l1
朝农新村 1室1厅 43平米,高楼层(共5层) 1984年建板楼,50,11628,2021.10.28,pudong,l1
科教园区大学城生活区 1室1厅 46.7平米,中楼层(共6层) 2001年建塔楼,62,13277,2021.10.26,pudong,l1
荡湾新村 1室1厅 39.33平米,中楼层(共5层) 1986年建板楼,112,28401,2021.10.25,pudong,l1
陆凌新村 1室1厅 47.41平米,高楼层(共6层) 1994年建板楼,160,33749,2021.10.20,pudong,l1
万科清林径 1室0厅 30平米,高楼层(共18层) 2012年建板楼,27,9000,2021.10.18,pudong,l1
科教园区大学城生活区 1室1厅 46.7平米,高楼层(共6层) 2001年建塔楼,61,12891,2021.10.15,pudong,l1
工农新村(新场) 1室1厅 42.62平米,高楼层(共4层) 1982年建板楼,109,25575,2021.10.10,pudong,l1
科教园区大学城生活区 1室0厅 44.42平米,中楼层(共5层) 2001年建板楼,66,14746,2021.10.10,pudong,l1
崂山五村 1室1厅 31.52平米,中楼层(共6层) 1966年建板楼,198,62818,2021.10.07,pudong,l1
学前一村 1室1厅 38.48平米,低楼层(共6层) 1987年建板楼,188,48857,2021.10.04,pudong,l1
阳光城魔都 2房间1卫 38.77平米,低楼层(共22层) 2016年建塔楼,189,48698,2021.10.01,pudong,l1
科教园区大学城生活区 1室1厅 44.42平米,中楼层(共5层) 2001年建板楼,70,15647,2021.09.26,pudong,l1
