title,Year,bedrooms,district,unit_price,transaction_date
陆凌新村,1994年建板楼,l1,pudong,39240,2021.11.21
百舸商务酒店公寓,2007年建板楼,l1,pudong,30205,2021.11.19
盛大天地青春里2.0,2016年建板楼,l1,pudong,36454,2021.11.15
上钢一村,1974年建板楼,l1,pudong,53986,2021.11.09
科教园区大学城生活区,2001年建塔楼,l1,pudong,15138,2021.10.31
阳光城MODO自由区,2014年建塔楼,l1,pudong,32488,2021.10.30
朝农新村,1984年建板楼,l1,pudong,11628,2021.10.28
科教园区大学城生活区,2001年建塔楼,l1,pudong,13277,2021.10.26
荡湾新村,1986年建板楼,l1,pudong,28401,2021.10.25
陆凌新村,1994年建板楼,l1,pudong,33749,2021.10.20
万科清林径,2012年建板楼,l1,pudong,9000,2021.10.18
科教园区大学城生活区,2001年建塔楼,l1,pudong,12891,2021.10.15
工农新村(新场),1982年建板楼,l1,pudong,25575,2021.10.10
科教园区大学城生活区,2001年建板楼,l1,pudong,14746,2021.10.10
崂山五村,1966年建板楼,l1,pudong,62818,2021.10.07
学前一村,1987年建板楼,l1,pudong,48857,2021.10.04
阳光城魔都,2016年建塔楼,l1,pudong,48698,2021.10.01
科教园区大学城生活区,2001年建板楼,l1,pudong,15647,2021.09.26
印象生活广场,2014年建板楼,l1,pudong,34701,2021.09.21
科教园区大学城生活区,2001年建塔楼,l1,pudong,12634,2021.09.21
科教园区大学城生活区,2001年建板楼,l1,pudong,12021,2021.09.20
荡湾新村,1985年建板楼,l2,pudong,29405,2021.11.14
东南三村,1991年建板楼,l2,pudong,39038,2021.10.07
育新新村,1982年建板楼,l2,pudong,33231,2021.10.05
潼港一村,1992年建板楼,l2,pudong,38663,2021.10.03
惠北新村,1982年建板楼,l2,pudong,30913,2021.08.01
盛大天地青春里2.0,2016年建塔楼,l2,pudong,42085,2021.07.22
盛大天地青春里2.0,2016年建塔楼,l2,pudong,40889,2021.06.27
听潮一村,1988年建板楼,l2,pudong,29167,2021.06.23
盛大天地青春里2.0,2016年建塔楼,l2,pudong,43045,2021.06.06
新德路365弄小区,1984年建板楼,l2,pudong,40446,2021.05.22
听潮一村,1990年建板楼,l2,pudong,28143,2021.04.18
听潮一村,1991年建板楼,l2,pudong,28051,2021.04.03
水上新村(浦东),1992年建板楼,l2,pudong,30013,2021.03.22
河滨小区,1981年建板楼,l2,pudong,39030,2021.03.21
河滨小区,1981年建板楼,l2,pudong,37320,2021.03.06
盛大天地青春里2.0,2014年建塔楼,l2,pudong,43556,2021.02.17
沪东新村,1958年建板楼,l2,pudong,45942,2021.01.26
西泥路小区,1994年建板楼,l2,pudong,41915,2021.01.10
听潮一村,1988年建板楼,l2,pudong,24286,2021.01.07
荡湾新村,1985年建板楼,l2,pudong,25399,2021.01.03
盛大天地青春里2.0,2014年建平房,l2,pudong,43334,2020.12.26
沪东新村,1953年建板楼,l2,pudong,38794,2020.12.19
荡湾新村,1985年建板楼,l2,pudong,23762,2020.12.12
沪东新村,1986年建板楼,l2,pudong,45336,2020.12.06
东都小区,1983年建板楼,l2,pudong,38557,2020.12.04
荡湾新村,1985年建板楼,l3,pudong,27476,2019.06.21
禹洲金桥国际,2009年建塔楼,l3,pudong,23369,2016.04.16
香楠小区,1996年建板楼,l3,pudong,34750,2015.12.20
丹桂佳苑,2008年建板楼,l1,pudong,24855,2021.11.20
金桥中环大厦,2007年建板塔结合,l1,pudong,20991,2021.11.07
爱家新城,2007年建板楼,l1,pudong,20249,2021.11.05
金桥中环大厦,2007年建板塔结合,l1,pudong,16472,2021.11.03
蓝色城邦(公寓),2010年建板楼,l1,pudong,26716,2021.10.24
黄楼花苑,1999年建板楼,l1,pudong,31836,2021.10.16
丹桂佳苑,2008年建板楼,l1,pudong,26616,2021.10.11
龙源星城,2001年建板楼,l1,pudong,23440,2021.10.05
远东小区,1998年建板楼,l1,pudong,30109,2021.10.02
惠益新苑南苑,2014年建塔楼,l1,pudong,32204,2021.09.24
绿地蓝海庭,2009年建板楼,l1,pudong,27515,2021.09.21
汇金星城,2014年建板楼,l1,pudong,20570,2021.09.21
盛大天地青春里(一期),2015年建板楼,l1,pudong,35295,2021.09.12
展想悦廷,2007年建板楼,l1,pudong,28847,2021.09.09
丽泽荷亭苑,2009年建板楼,l1,pudong,21411,2021.09.05
绿地蓝海庭,2009年建板楼,l1,pudong,27599,2021.08.30
中惠广场,2008年建塔楼,l1,pudong,17721,2021.08.23
绿地蓝海庭,2009年建板楼,l1,pudong,27826,2021.08.23
明祥苑,2011年建板楼,l1,pudong,20828,2021.08.22
天环苑,2008年建板楼,l1,pudong,33043,2021.08.15
金桥中环大厦,2007年建板塔结合,l1,pudong,35292,2021.07.25
绿地蓝海庭,2008年建板楼,l1,pudong,28017,2021.07.17
丹桂佳苑,2009年建板楼,l1,pudong,25800,2021.07.14
城东大楼,1990年建板楼,l2,pudong,25005,2021.11.24
荡湾新村,1983年建板楼,l2,pudong,27927,2021.11.21
荡湾新村,1985年建板楼,l2,pudong,27826,2021.11.06
听潮一村,1990年建板楼,l2,pudong,28226,2021.11.06
西北新村,1995年建板楼,l2,pudong,28912,2021.10.20
供销三村,1984年建板楼,l2,pudong,22423,2021.10.20
荡湾新村,1985年建板楼,l2,pudong,28423,2021.10.11
悦天地,2016年建板楼,l2,pudong,27054,2021.10.10
荡湾新村,1986年建板楼,l2,pudong,27443,2021.10.06
荡湾新村,1985年建板楼,l2,pudong,24114,2021.10.02
荡湾新村,1986年建板楼,l2,pudong,27573,2021.10.02
西北新村,1982年建板楼,l2,pudong,27784,2021.10.01
海鑫苑,2005年建板楼,l2,pudong,33736,2021.09.19
印象生活广场,2014年建板楼,l2,pudong,32814,2021.09.19
荡湾新村,1983年建板楼,l2,pudong,27582,2021.09.13
听潮一村,1987年建板楼,l2,pudong,25987,2021.09.12
荡湾新村,1985年建板楼,l2,pudong,27609,2021.09.12
听潮六村,1994年建板楼,l2,pudong,30167,2021.08.29
绿地峰汇,2010年建板楼,l2,pudong,18318,2021.08.26
听潮六村,1994年建板楼,l2,pudong,29007,2021.08.22
禹洲商业广场,2015年建塔楼,l2,pudong,10624,2021.08.12
公益路东苑,1995年建板楼,l2,pudong,27353,2021.08.07
荡湾新村,1985年建板楼,l2,pudong,26959,2021.08.01
荡湾新村,1983年建板楼,l2,pudong,24834,2021.08.01
印象生活广场,2014年建板楼,l2,pudong,31055,2021.07.25
西南新村,1980年建板楼,l3,pudong,19378,2021.11.03
西南新村,1982年建板楼,l3,pudong,24497,2021.09.02
荡湾新村,1985年建板楼,l3,pudong,27510,2021.07.04
荡湾新村,1986年建板楼,l3,pudong,27510,2021.06.24
荡湾新村,1983年建板楼,l3,pudong,24538,2021.04.11
荡湾新村,1983年建板楼,l3,pudong,24882,2021.03.21
荡湾新村,1985年建板楼,l3,pudong,25395,2021.03.17
荡湾新村,1985年建板楼,l3,pudong,26592,2021.03.13
听潮一村,1987年建板楼,l3,pudong,24234,2021.03.06
卫星东路50弄,1978年建板楼,l3,pudong,27673,2021.01.18
听潮一村,1987年建板楼,l3,pudong,24444,2021.01.02
听潮一村,1987年建板楼,l3,pudong,23064,2020.11.18
听潮一村,1988年建板楼,l3,pudong,25045,2020.11.08
听潮一村,1990年建板楼,l3,pudong,23354,2020.10.25
听潮一村,1987年建板楼,l3,pudong,23145,2020.10.25
荡湾新村,1987年建板楼,l3,pudong,22977,2020.09.10
听潮一村,1988年建板楼,l3,pudong,23705,2020.08.23
荡湾新村,1983年建板楼,l3,pudong,22790,2020.08.09
人民新村,1979年建板楼,l3,pudong,24000,2020.07.25
南粮新村,1989年建板楼,l3,pudong,21598,2020.06.14
荡湾新村,1986年建板楼,l3,pudong,25834,2020.06.14
荡湾新村,1986年建板楼,l3,pudong,23324,2020.06.10
荡湾新村,1983年建板楼,l3,pudong,22216,2020.05.13
西门新村,1978年建板楼,l3,pudong,19355,2020.03.29
荡湾新村,1985年建板楼,l3,pudong,24043,2020.03.23
荡湾新村,1986年建板楼,l3,pudong,24294,2020.03.15
惠北新村,1984年建板楼,l3,pudong,19832,2020.03.14
荡湾新村,1986年建板楼,l3,pudong,24193,2019.12.01
荡湾新村,1986年建板楼,l3,pudong,22434,2019.10.24
绿地东海岸时尚广场,2014年建塔楼,l4,pudong,15803,2016.03.07
书院一号公寓,2009年建板楼,l1,pudong,22479,2021.08.13
书院一号公寓,2009年建板楼,l1,pudong,21877,2021.06.09
东升家园(三期),2006年建板楼,l1,pudong,25000,2021.06.05
书院一号公寓,2009年建板楼,l1,pudong,20737,2021.02.04
书院一号公寓,2009年建板楼,l1,pudong,19669,2020.09.19
绿地东岸涟城,2008年建板楼,l1,pudong,25518,2020.09.16
书院一号公寓,2009年建板楼,l1,pudong,19156,2020.05.30
云帆名苑,2007年建板楼,l1,pudong,17066,2020.04.29
金桥中环大厦,2007年建板塔结合,l1,pudong,19985,2020.04.17
书院一号公寓,2009年建板楼,l1,pudong,18348,2020.03.19
丽都华庭,2014年建板楼,l1,pudong,23174,2019.12.04
金桥中环大厦,2007年建板塔结合,l1,pudong,20375,2019.11.18
艺泰安邦,2010年建板楼,l1,pudong,25547,2019.08.26
碧云青年汇(二期),2007年建塔楼,l1,pudong,22467,2019.07.02
宜浩佳园,2009年建板楼,l1,pudong,22634,2019.06.22
云帆名苑,2007年建板楼,l1,pudong,16764,2019.06.22
书院一号公寓,2009年建板楼,l1,pudong,19423,2019.05.05
书院一号公寓,2009年建板楼,l1,pudong,18545,2019.03.31
宜浩佳园,2009年建板楼,l1,pudong,24471,2019.02.24
宜浩佳园,2009年建板楼,l1,pudong,24326,2018.12.06
宜浩佳园,2009年建板楼,l1,pudong,24975,2018.11.21
云帆雅苑,2007年建板楼,l1,pudong,20642,2017.11.15
万祥馨苑,2008年建板楼,l1,pudong,20857,2017.10.10
云帆佳苑,2007年建板楼,l1,pudong,20774,2017.04.22
书院一号公寓,2009年建板楼,l1,pudong,18686,2016.10.09
书院一号公寓,2009年建板楼,l1,pudong,19212,2016.09.14
云帆名苑,2007年建板楼,l1,pudong,19663,2016.09.10
云帆名苑,2007年建板楼,l1,pudong,14857,2016.08.19
金桥中环大厦,2007年建板塔结合,l1,pudong,16463,2016.08.09
云帆花苑,2008年建板楼,l2,pudong,21629,2021.11.23
云帆雅苑,2007年建板楼,l2,pudong,18326,2021.11.22
丹桂佳苑,2008年建板楼,l2,pudong,24472,2021.11.21
海芦镜湖苑,2008年建板楼,l2,pudong,18779,2021.11.18
云锦丽苑,2006年建板楼,l2,pudong,20429,2021.11.15
蓝色城邦(公寓),2010年建板楼,l2,pudong,22658,2021.11.13
凯德新视界(一期),2015年建板楼,l2,pudong,22239,2021.10.28
云树仁居,2008年建板楼,l2,pudong,21043,2021.10.26
荷风景庭,2009年建板楼,l2,pudong,21316,2021.10.17
听潮六村,1994年建板楼,l2,pudong,24571,2021.10.11
云锦丽苑,2006年建板楼,l2,pudong,20056,2021.10.10
东升家园(三期),2006年建板楼,l2,pudong,26603,2021.10.07
锦园坊,2007年建板楼,l2,pudong,25960,2021.09.23
荷风景庭,2009年建板楼,l2,pudong,21579,2021.09.21
丽泽荷亭苑,2009年建板楼,l2,pudong,21005,2021.09.20
荷风翠庭,2009年建板楼,l2,pudong,22380,2021.09.15
新舒苑,2006年建板楼,l2,pudong,22468,2021.09.08
清风雅苑,2009年建板楼,l2,pudong,18989,2021.09.03
云树欣居,2008年建板楼,l2,pudong,20097,2021.08.07
新舒苑,2007年建板楼,l2,pudong,21865,2021.08.02
云帆佳苑,2007年建板楼,l2,pudong,21603,2021.07.23
云松翠庭,2008年建板楼,l2,pudong,22756,2021.07.19
新舒苑,2006年建板楼,l2,pudong,21110,2021.07.17
丽泽兰馨苑,2008年建板楼,l2,pudong,21979,2021.07.10
荷风景庭,2009年建板楼,l2,pudong,23182,2021.07.10
云树仁居,2008年建板楼,l2,pudong,22633,2021.06.21
汇民锦苑,2016年建板楼,l3,pudong,20778,2021.10.13
惠东路300弄,1996年建板楼,l3,pudong,21967,2021.04.05
听潮四村,1994年建板楼,l3,pudong,23552,2021.02.28
海燕二村,1994年建板楼,l3,pudong,22703,2021.02.25
绿缘新村,1995年建板楼,l3,pudong,20441,2021.01.09
绿缘新村,1995年建板楼,l3,pudong,22683,2021.01.03
运通路728弄,1993年建板楼,l3,pudong,27146,2021.01.01
听潮二村,1992年建板楼,l3,pudong,21934,2020.12.28
丽泽梅傲苑,2011年建板楼,l3,pudong,20922,2020.12.17
云帆佳苑,2007年建板楼,l3,pudong,18167,2020.11.16
听潮二村,1993年建板楼,l3,pudong,24019,2020.11.14
德盈佳园,2008年建板楼,l3,pudong,23536,2020.09.01
蓝色城邦(公寓),2010年建板楼,l3,pudong,21184,2020.06.25
临港海滨国际花园,2011年建板楼,l3,pudong,21630,2020.06.23
听潮二村,1993年建板楼,l3,pudong,22711,2020.05.30
惠康苑,2014年建板楼,l3,pudong,24375,2020.04.27
凯德新视界(一期),2015年建板楼,l3,pudong,20000,2020.04.22
丽泽荷亭苑,2009年建板楼,l3,pudong,19732,2020.03.10
乾耀东港,2013年建板楼,l3,pudong,22079,2020.03.08
惠康苑,2014年建板楼,l3,pudong,22785,2020.03.02
惠康苑,2014年建板楼,l3,pudong,24386,2019.11.11
欣欣苑小区,1994年建板楼,l3,pudong,21095,2019.11.09
公益路东苑,1995年建板楼,l3,pudong,21037,2019.10.12
听潮二村,1993年建板楼,l3,pudong,21788,2019.09.15
南粮新村,1994年建板楼,l3,pudong,22906,2019.07.20
乾耀东港,2013年建板楼,l3,pudong,18225,2019.07.11
乾耀东港,2013年建板楼,l3,pudong,20075,2019.06.29
丽泽梅傲苑,2011年建板楼,l4,pudong,23210,2017.03.04
宁怡苑,2006年建板楼,l4,pudong,25932,2016.02.01
龙源星城,2001年建板楼,l1,pudong,9216,2016.08.28
云锦名苑,2006年建板楼,l1,pudong,11514,2016.07.19
丽泽兰馨苑,2008年建板楼,l1,pudong,9079,2016.05.28
万达广场(周浦),2009年建塔楼,l1,pudong,17758,2016.01.06
三墩花苑,2000年建板楼,l2,pudong,15729,2021.10.25
泥城苑,2013年建板楼,l2,pudong,19400,2021.10.18
泥城苑,2011年建板楼,l2,pudong,20772,2021.09.20
泥城苑,2011年建板楼,l2,pudong,20916,2021.06.16
禹洲商业广场,2015年建塔楼,l2,pudong,16814,2021.05.29
泥城苑,2011年建板楼,l2,pudong,17921,2021.03.27
泥城苑,2011年建板楼,l2,pudong,19132,2021.03.18
泥城苑,2013年建板楼,l2,pudong,18979,2021.03.13
泥城苑,2011年建板楼,l2,pudong,19660,2021.03.07
德盈佳园,2008年建板楼,l2,pudong,21500,2021.03.03
丽泽菊清苑,2010年建板楼,l2,pudong,18112,2021.02.21
泥城苑,2013年建板楼,l2,pudong,19863,2021.02.19
欣松苑,2007年建板楼,l2,pudong,19368,2021.02.19
欣梅苑,2007年建板楼,l2,pudong,20299,2021.02.18
泥城苑,2011年建板楼,l2,pudong,19534,2021.02.06
泥城苑,2011年建板楼,l2,pudong,18311,2021.02.02
海燕大厦,1997年建平房,l2,pudong,18773,2021.01.31
永达城市公寓,2008年建板楼,l2,pudong,10449,2021.01.26
丽泽荷亭苑,2009年建板楼,l2,pudong,17471,2021.01.24
泥城苑,2013年建板楼,l2,pudong,19229,2021.01.20
泥城苑,2011年建板楼,l2,pudong,18622,2021.01.16
德盈佳园,2008年建板楼,l2,pudong,20313,2021.01.10
泥城苑,2011年建板楼,l2,pudong,18205,2021.01.10
欣兰苑,2007年建板楼,l2,pudong,20958,2020.12.27
泥城苑,2011年建板楼,l2,pudong,20697,2020.12.26
德盈佳园,2008年建板楼,l2,pudong,21742,2020.12.14
丽泽荷亭苑,2009年建板楼,l2,pudong,17948,2020.12.10
欣松苑,2007年建板楼,l2,pudong,20285,2020.12.07
云松华庭,2008年建板楼,l2,pudong,16137,2020.12.02
书院一号公寓,2009年建板楼,l2,pudong,19345,2020.11.28
海芦镜湖苑,2008年建板楼,l3,pudong,18911,2021.10.24
云树仁居,2008年建板楼,l3,pudong,19017,2021.10.14
新舒苑,2007年建板楼,l3,pudong,18978,2021.09.22
新舒苑,2006年建板楼,l3,pudong,17959,2021.04.24
新舒苑,2007年建板楼,l3,pudong,18830,2021.04.09
丽泽菊清苑,2010年建板楼,l3,pudong,18496,2021.02.18
云松翠庭,2008年建板楼,l3,pudong,18332,2021.01.18
