title,位置,经纬度
陆凌新村,上海市浦东新区陆凌新村,"121.562035,31.347713"
百舸商务酒店公寓,上海市浦东新区百舸商务,"121.583710,31.248774"
盛大天地青春里2.0,上海市浦东新区盛大天地青春里,"121.603310,31.173262"
上钢一村,上海市浦东新区上钢一村,"121.494514,31.172737"
科教园区大学城生活区,上海市浦东新区科教园区大学城生活区,"121.784543,31.049036"
阳光城MODO自由区,福建省福州市鼓楼区阳光城,"119.286247,26.071875"
朝农新村,上海市浦东新区朝农新村,"121.837524,31.096113"
科教园区大学城生活区,上海市浦东新区科教园区大学城生活区,"121.784543,31.049036"
荡湾新村,上海市浦东新区荡湾新村,"121.764626,31.043772"
陆凌新村,上海市浦东新区陆凌新村,"121.562035,31.347713"
万科清林径,广东省深圳市龙岗区万科清林径,"114.232513,22.747377"
科教园区大学城生活区,上海市浦东新区科教园区大学城生活区,"121.784543,31.049036"
工农新村(新场),黑龙江省鹤岗市工农区,"130.274720,47.318971"
科教园区大学城生活区,上海市浦东新区科教园区大学城生活区,"121.784543,31.049036"
崂山五村,山东省青岛市崂山区,"120.469282,36.107069"
学前一村,上海市浦东新区学前一村,"121.585205,31.348389"
阳光城魔都,福建省福州市鼓楼区阳光城,"119.286247,26.071875"
科教园区大学城生活区,上海市浦东新区科教园区大学城生活区,"121.784543,31.049036"
印象生活广场,上海市浦东新区印象生活广场,"121.593201,31.115139"
科教园区大学城生活区,上海市浦东新区科教园区大学城生活区,"121.784543,31.049036"
科教园区大学城生活区,上海市浦东新区科教园区大学城生活区,"121.784543,31.049036"
荡湾新村,上海市浦东新区荡湾新村,"121.764626,31.043772"
东南三村,上海市浦东新区东南三村,"121.583824,31.110098"
育新新村,内蒙古自治区通辽市科尔沁区育新镇,"122.183136,43.544224"
潼港一村,上海市浦东新区潼港一村,"121.586502,31.334909"
惠北新村,上海市浦东新区汇北新村,"121.757912,31.050262"
盛大天地青春里2.0,上海市浦东新区盛大天地青春里,"121.603310,31.173262"
盛大天地青春里2.0,上海市浦东新区盛大天地青春里,"121.603310,31.173262"
听潮一村,上海市浦东新区听潮一村,"121.739876,31.046640"
