title,位置,经纬度
陆凌新村,上海市浦东新区陆凌新村,"121.562035,31.347713"
百舸商务酒店公寓,上海市浦东新区百舸商务,"121.583710,31.248774"
盛大天地青春里2.0,上海市浦东新区盛大天地青春里,"121.603310,31.173262"
上钢一村,上海市浦东新区上钢一村,"121.494514,31.172737"
科教园区大学城生活区,上海市浦东新区科教园区大学城生活区,"121.784543,31.049036"
朝农新村,上海市浦东新区朝农新村,"121.837524,31.096113"
科教园区大学城生活区,上海市浦东新区科教园区大学城生活区,"121.784543,31.049036"
荡湾新村,上海市浦东新区荡湾新村,"121.764626,31.043772"
陆凌新村,上海市浦东新区陆凌新村,"121.562035,31.347713"
科教园区大学城生活区,上海市浦东新区科教园区大学城生活区,"121.784543,31.049036"
科教园区大学城生活区,上海市浦东新区科教园区大学城生活区,"121.784543,31.049036"
学前一村,上海市浦东新区学前一村,"121.585205,31.348389"
科教园区大学城生活区,上海市浦东新区科教园区大学城生活区,"121.784543,31.049036"
印象生活广场,上海市浦东新区印象生活广场,"121.593201,31.115139"
科教园区大学城生活区,上海市浦东新区科教园区大学城生活区,"121.784543,31.049036"
科教园区大学城生活区,上海市浦东新区科教园区大学城生活区,"121.784543,31.049036"
荡湾新村,上海市浦东新区荡湾新村,"121.764626,31.043772"
东南三村,上海市浦东新区东南三村,"121.583824,31.110098"
潼港一村,上海市浦东新区潼港一村,"121.586502,31.334909"
惠北新村,上海市浦东新区汇北新村,"121.757912,31.050262"
盛大天地青春里2.0,上海市浦东新区盛大天地青春里,"121.603310,31.173262"
盛大天地青春里2.0,上海市浦东新区盛大天地青春里,"121.603310,31.173262"
听潮一村,上海市浦东新区听潮一村,"121.739876,31.046640"
盛大天地青春里2.0,上海市浦东新区盛大天地青春里,"121.603310,31.173262"
新德路365弄小区,上海市浦东新区新德路365弄小区,"121.697708,31.197418"
听潮一村,上海市浦东新区听潮一村,"121.739876,31.046640"
听潮一村,上海市浦东新区听潮一村,"121.739876,31.046640"
水上新村(浦东),上海市奉贤区水上新村,"121.463980,30.919830"
盛大天地青春里2.0,上海市浦东新区盛大天地青春里,"121.603310,31.173262"
